Date,ASIANPAINT,TATASTEEL,INFY,BAJAJ-AUTO,TCS,KOTAKBANK,CIPLA,EICHERMOT,NTPC,M&M,HEROMOTOCO,COALINDIA,APOLLOHOSP,HCLTECH,ONGC,ADANIPORTS,BEL,DRREDDY,TECHM,NESTLEIND,ITC,ETERNAL,RELIANCE,HINDUNILVR,INDUSINDBK,JSWSTEEL,TRENT,BAJFINANCE,LT,HDFCBANK,SUNPHARMA,SBILIFE,MARUTI,TITAN,GRASIM,TATACONSUM,HINDALCO,HDFCLIFE,AXISBANK,JIOFIN,WIPRO,ICICIBANK,BHARTIARTL,ULTRACEMCO,SHRIRAMFIN,TATAMOTORS,POWERGRID,SBIN,BAJAJFINSV,ADANIENT
2020-12-01,2137.87109375,50.430206298828125,1022.8206787109375,2836.510498046875,2546.37939453125,1868.045654296875,729.2513427734375,2414.67919921875,77.79082489013672,700.7581787109375,2644.54052734375,83.90743255615234,2434.43896484375,699.4962158203125,61.85706329345703,411.3900146484375,34.30808639526367,936.1868286132812,813.1180419921875,805.081298828125,160.15762329101562,,886.4127807617188,1984.9166259765625,864.7879638671875,339.03216552734375,711.7081298828125,476.8233642578125,1061.3822021484375,1360.9652099609375,512.21044921875,842.2603149414062,6806.53662109375,1320.5604248046875,886.8433227539062,509.2095031738281,221.29029846191406,632.2234497070312,601.1400146484375,,166.8320770263672,469.18267822265625,459.95947265625,4777.857421875,188.03599548339844,177.11741638183594,83.51350402832031,228.8798370361328,872.691650390625,420.8455505371094
2020-12-02,2220.124267578125,52.02713394165039,1025.5621337890625,2919.14892578125,2567.62353515625,1806.65234375,731.9053344726562,2414.48876953125,78.66207885742188,718.9319458007812,2658.101806640625,86.13123321533203,2383.5859375,707.085693359375,64.36017608642578,425.3683776855469,34.84511184692383,940.0338745117188,814.372802734375,798.0697021484375,161.4346160888672,,887.8864135742188,1990.732421875,866.5261840820312,348.73504638671875,687.5865478515625,473.1744689941406,1059.2896728515625,1335.9449462890625,517.2439575195312,866.2018432617188,6906.9814453125,1367.7269287109375,894.3655395507812,518.7818603515625,223.751220703125,626.90478515625,605.5714721679688,,169.69256591796875,464.68524169921875,465.1878662109375,4799.84716796875,189.3126983642578,180.91104125976562,84.2950210571289,227.8648681640625,878.244140625,452.61590576171875
2020-12-03,2311.724853515625,53.45188522338867,1012.572998046875,2880.89013671875,2530.1767578125,1813.4239501953125,735.5729370117188,2430.6962890625,81.77371978759766,711.5384521484375,2669.708251953125,88.58737182617188,2362.18701171875,723.0614013671875,67.28046417236328,423.0386047363281,35.29008102416992,954.143310546875,820.1533203125,808.5015869140625,161.64056396484375,,890.5617065429688,1979.9842529296875,865.5122680664062,351.0542297363281,674.2078857421875,477.44622802734375,1070.1322021484375,1307.6964111328125,520.6626586914062,848.9876708984375,7417.44482421875,1396.775146484375,889.0413818359375,529.5087280273438,233.54664611816406,638.1822509765625,600.1939697265625,,170.3545379638672,466.0393371582031,460.39117431640625,4761.3173828125,189.89141845703125,182.14273071289062,83.99110412597656,236.49224853515625,909.3591918945312,446.431396484375
2020-12-04,2337.944580078125,53.606842041015625,1019.9441528320312,2895.756591796875,2547.0791015625,1838.56884765625,740.2055053710938,2434.51025390625,81.77371978759766,716.022216796875,2704.228759765625,88.48782348632812,2406.418212890625,719.9585571289062,68.15277099609375,440.4144592285156,35.520233154296875,951.3331298828125,827.2779541015625,824.0573120117188,163.2882843017578,,882.71728515625,2032.514404296875,882.3155517578125,350.6282653808594,673.412109375,478.2211608886719,1093.2916259765625,1315.6724853515625,540.4160766601562,853.785888671875,7478.8330078125,1415.1395263671875,909.9961547851562,542.1114501953125,243.8728790283203,633.5530395507812,611.9448852539062,,170.59092712402344,485.5765380859375,473.6781311035156,4953.87060546875,184.27906799316406,181.45297241210938,84.3818588256836,243.1358184814453,903.2129516601562,444.8354187011719
2020-12-07,2370.34716796875,52.90522384643555,1027.8994140625,2902.88330078125,2556.557861328125,1812.975830078125,746.1892700195312,2441.803466796875,82.7694320678711,717.6917724609375,2698.787353515625,90.81118774414062,2404.49072265625,717.2750244140625,69.44224548339844,457.6932678222656,35.27473449707031,974.6970825195312,846.27734375,811.7555541992188,167.3663787841797,,887.9091186523438,2099.467529296875,903.0781860351562,345.5165100097656,689.6753540039062,473.7188720703125,1112.5037841796875,1302.9962158203125,552.9993896484375,842.656005859375,7421.56591796875,1403.4708251953125,916.0531005859375,546.2962646484375,242.47354125976562,639.758056640625,616.6752319335938,,169.47984313964844,493.70086669921875,488.26019287109375,4919.9140625,195.35679626464844,180.8617706298828,84.01282501220703,248.76441955566406,903.1631469726562,456.40643310546875
2020-12-08,2338.08837890625,52.81053161621094,1036.753662109375,2908.69921875,2612.214599609375,1826.1707763671875,739.28857421875,2429.457275390625,81.4832763671875,719.3134765625,2693.600830078125,89.11843872070312,2422.03515625,724.4034423828125,68.83543395996094,449.78192138671875,34.72237014770508,972.0031127929688,835.52294921875,809.7635498046875,166.78968811035156,,904.028564453125,2103.05029296875,885.2609252929688,343.29193115234375,684.7019653320312,470.06005859375,1114.1207275390625,1306.841796875,540.083740234375,844.6841430664062,7440.064453125,1405.98193359375,904.427734375,541.3898315429688,237.11741638183594,641.6787109375,618.0693969726562,,171.9621124267578,491.7181396484375,483.1277160644531,5076.80810546875,195.97219848632812,179.13739013671875,83.18787384033203,250.8865966796875,894.9266357421875,450.77056884765625
2020-12-09,2418.041015625,52.45756912231445,1056.394775390625,2891.51513671875,2624.821044921875,1875.7137451171875,735.8141479492188,2428.55126953125,81.5662841796875,720.267578125,2712.9443359375,89.41715240478516,2414.374755859375,730.0637817382812,69.17676544189453,450.3157653808594,35.88847351074219,980.0850830078125,833.0136108398438,812.0606689453125,169.22006225585938,,919.08251953125,2133.013916015625,896.6561889648438,342.53466796875,679.5792236328125,475.1607360839844,1123.2513427734375,1336.1824951171875,540.8909301757812,848.8392944335938,7388.8359375,1404.3079833984375,899.005859375,544.035400390625,232.58160400390625,642.7620849609375,631.56298828125,,169.97628784179688,494.7164611816406,482.60009765625,5005.828125,195.1547088623047,180.0242156982422,83.66546630859375,249.45645141601562,899.0423583984375,447.9775695800781
2020-12-10,2421.635986328125,52.522132873535156,1049.697998046875,2877.785888671875,2600.074462890625,1895.381591796875,736.1519775390625,2376.49560546875,80.61203002929688,702.2847290039062,2716.00537109375,89.51675415039062,2365.30078125,726.877197265625,69.51809692382812,457.2079162597656,35.10596466064453,979.3486328125,831.0420532226562,848.277099609375,175.23419189453125,,910.0365600585938,2187.21875,884.4400024414062,342.96063232421875,673.3624267578125,470.320068359375,1132.14404296875,1315.9097900390625,536.759765625,846.91015625,7414.4736328125,1402.3878173828125,888.5040893554688,557.8889770507812,234.22222900390625,649.5089111328125,624.4426879882812,,168.274169921875,490.31573486328125,484.6147155761719,4830.2041015625,192.84915161132812,174.9989013671875,83.68718719482422,248.71826171875,900.8583374023438,446.13214111328125
2020-12-11,2416.74658203125,53.520751953125,1045.6077880859375,2909.966796875,2599.421142578125,1912.4102783203125,729.4924926757812,2355.6640625,84.96833801269531,694.0802612304688,2708.352783203125,91.77374267578125,2332.53466796875,723.1033935546875,73.4244613647461,452.6455078125,35.18267822265625,972.34228515625,823.9620361328125,850.5140991210938,178.2000732421875,,909.4924926757812,2209.831298828125,892.0691528320312,340.45208740234375,685.6965942382812,475.1313171386719,1135.9010009765625,1313.013916015625,539.5138549804688,840.6279296875,7412.12548828125,1420.3089599609375,881.42138671875,554.5218505859375,235.13902282714844,654.4827270507812,610.7000732421875,,167.13938903808594,498.53680419921875,483.8951721191406,4879.5341796875,191.655029296875,176.23060607910156,83.83914947509766,251.39413452148438,897.4859008789062,448.67584228515625
2020-12-14,2442.822509765625,53.95549392700195,1046.8216552734375,2876.168212890625,2612.587646484375,1931.281494140625,761.776123046875,2288.592041015625,86.79380798339844,678.95947265625,2647.43115234375,95.15923309326172,2329.47119140625,732.11865234375,76.98948669433594,453.32501220703125,36.37946319580078,973.4761352539062,815.0001220703125,859.3284301757812,177.87054443359375,,902.9176025390625,2206.109130859375,889.6548461914062,338.4168395996094,696.0912475585938,480.5066223144531,1188.54443359375,1302.9012451171875,547.2537841796875,841.12255859375,7376.9033203125,1441.0364990234375,890.408935546875,555.0989990234375,237.7447052001953,645.8646240234375,613.339111328125,,165.17723083496094,508.5471496582031,482.60009765625,4936.6982421875,196.56927490234375,175.0481719970703,84.36016082763672,253.00892639160156,891.3446655273438,454.0124206542969
